# R-152 - identity revisit of wave 147's split shelves (P-062: the Defenders / Doctor Strange / Fantastic Four / Daredevil families) plus S64767 Ghost Rider, S5304 Defenders by Fraction and S20617 Ultimate Fantastic Four Collection.
# Folder shape: Marvel\_<Family>\NN <Title> vN (<year>) run folders, with _Epic Collections / _Omnibus Editions / Trades beside them, and event-filed second rips under _Marvel Major Event Chronology and _X-Men Complete Chronology V2.
# Surprises: S64767 still holds five Ghost Rider (1990) chronology issues (#26-27, #29, #67-68, "Ghost Rider v2" = CV's Vol. 2) besides the three strays the lead named; S64591 holds the two 2023 "Doctor Strange by Mark Waid" books, which collect the 2018 run S5642 stores; C-044 wrote VOLUME ids in two Ghost Rider I lines (80257, 80223), fixed below.
# Earlier I / C lines on these books are restated (with upgrades) so this file carries every book's own record.

S 5305 cv=- gcd=106500 0.9 | the Defenders Epic Collection LINE (L-109 / L-392): GCD 106500 (Marvel 2016-?, 7 rows) holds all six of our books by volume number, subtitle and ISBN - Vol. 01 row 2468432, Vol. 02 row 2638133 (joined from S5307 / S5306 in P-062), Vol. 06-09 rows 1623796 / 1730405 / 1836098 / 2105311, each 3-8pp under print; ComicVine mints a count-1 volume per book (147058, 158646, 93423, 103812, 112801, 123717), so the line has no CV id
N 46977 also collects Daredevil (1964) #219, Spectacular Spider-Man #27-28 and Marvel Graphic Novel: Daredevil - Love and War (GCD 87031); C-064's #219-233 widened across the #220-225 gap
I 46978 cv=580744 gcd=1678568 isbn=- 0.9 | second copy of "Daredevil Omnibus Book 01 (2017)" 1082pp = CV 98730 issue 580744 "Volume 1" and GCD 112556 row 1678568 (1096pp); twin row 1678895
I 46979 cv=992553 gcd=2537472 isbn=978-1-302-94869-6 0.95 | "Daredevil Omnibus Book 02 (2023)" 793pp = CV 98730 #2 issue 992553 "Volume 2" (2023-05-31) and GCD 112556 #2 row 2537472 (808pp, 2023-05-31); replaces C-064's series-only gcd=s1636
C 46979 cv=2190 gcd=1636 #42-74 0.95 | Omnibus Book 02 collects Daredevil (Marvel 1964-1998, 381 issues; CV 2190 = GCD 1636) #42-74 per GCD row 2537472's roll-up, following Book 01's #1-41
I 46980 cv=1051528 gcd=2620941 isbn=978-1-302-95518-2 0.95 | "Daredevil Omnibus Book 03 (2024)" 1139pp = CV 98730 #3 issue 1051528 "Volume 3" (2024-04-15) and GCD 112556 #3 row 2620941 (1168pp, 2024-04-10); replaces C-064's series-only gcd=s1636
C 46980 cv=2190 gcd=1636 #75-119 0.95 | Omnibus Book 03 collects Daredevil (Marvel 1964-1998, 381 issues; CV 2190 = GCD 1636) #75-119 per GCD row 2620941's roll-up (plus Amazing Adventures #1-8)
I 47020 cv=184077 gcd=1106834 isbn=978-0-7851-3473-2 0.95 | "Daredevil by Frank Miller and Klaus Janson Vol. 01 (2008)" 327pp = CV 29926 #1 issue 184077 "Volume One" and GCD 73293 #1 row 1106834 (340pp, 2008-11-05)
C 47020 cv=2190 gcd=1636 #163-172 0.95 | Miller & Janson Vol. 01 collects Daredevil (Marvel 1964-1998, 381 issues; CV 2190 = GCD 1636) #158-161 and #163-172 per GCD row 1106834's roll-up (#162 is a fill-in it skips); the larger stretch #163-172 is stated here, #158-161 on an N
N 47020 also collects Daredevil (1964) #158-161 (the stretch before the #162 fill-in) and Spectacular Spider-Man #27-28; the judged #158-172 widened across the gap
I 47021 cv=184104 gcd=1106835 isbn=978-0-7851-3474-9 0.95 | "Daredevil by Frank Miller and Klaus Janson Vol. 02 (2008)" 314pp = CV 29926 #2 issue 184104 "Volume Two" and GCD 73293 #2 row 1106835 (332pp)
C 47021 cv=2190 gcd=1636 #173-184 0.95 | Vol. 02 collects Daredevil (Marvel 1964-1998, 381 issues; CV 2190 / GCD 1636) #173-184 per GCD row 1106835's roll-up and the judged range
I 47022 cv=184105 gcd=1106836 isbn=978-0-7851-3475-6 0.95 | "Vol. 03 (2009)" 317pp = CV 29926 #3 issue 184105 "Volume Three" and GCD 73293 #3 row 1106836 (324pp)
C 47022 cv=2190 gcd=1636 #185-191 0.95 | Vol. 03 collects Daredevil (Marvel 1964-1998, 381 issues; CV 2190 / GCD 1636) #185-191 (plus #219) per GCD row 1106836's roll-up and the judged range
I 47980 cv=580744 gcd=1678568 isbn=- 0.9 | "Daredevil Omnibus Book 01 (2017)" 1082pp = CV 98730 "Daredevil Omnibus" issue 580744 "Volume 1" and GCD 112556 row 1678568 (1096pp, roll-up s1636 #1-41); 0.9 for GCD's twin row 1678895
I 46859 cv=43872 gcd=60498 isbn=- 0.95 | "Daredevil -1 (1997)" 24pp = the Flashback issue Daredevil #-1: CV 2190 #-1 issue 43872 and GCD 1636 #-1 row 60498 - replaces the per-file GCD 50569 (Semic) stamp
I 46860 cv=9614 gcd=21282 isbn=- 0.95 | "Daredevil Annual 001 (1967)" 56pp = Daredevil Annual (1967) #1: CV 2351 #1 issue 9614 and GCD 1808 #1 row 21282 (68pp) - replaces CV 2190 #1 / GCD 65541 stamps
I 46861 cv=15924 gcd=29383 isbn=- 0.95 | "Daredevil Annual 004 (1976)" 36pp = Daredevil Annual #4: CV 2351 #4 issue 15924 and GCD 1808 #4 row 29383 (52pp)
I 46862 cv=30617 gcd=45572 isbn=- 0.95 | "Daredevil Annual 005 (1989)" 56pp = Daredevil Annual #5: CV 2351 #5 issue 30617 and GCD 1808 row 45572 (numbered "#4 [5]", 1989, 68pp)
I 46863 cv=32180 gcd=47313 isbn=- 0.95 | "Daredevil Annual 006 (1990)" 57pp = Daredevil Annual #6: CV 2351 #6 issue 32180 and GCD 1808 #6 row 47313 (68pp)
I 46864 cv=99408 gcd=219932 isbn=- 0.95 | "Daredevil Annual 007 (1991)" 57pp = Daredevil Annual #7: CV 2351 #7 issue 99408 and GCD 1808 #7 row 219932 (68pp)
I 46865 cv=35154 gcd=50667 isbn=- 0.95 | "Daredevil Annual 008 (1992)" 56pp = Daredevil Annual #8: CV 2351 #8 issue 35154 and GCD 1808 #8 row 50667 (68pp) - replaces the Daredevil 2022 stamp
I 46866 cv=37513 gcd=53310 isbn=- 0.95 | "Daredevil Annual 009 (1993)" 49pp = Daredevil Annual #9: CV 2351 #9 issue 37513 and GCD 1808 #9 row 53310 (68pp)
I 46867 cv=168482 gcd=54303 isbn=- 0.95 | "Daredevil Annual 010 (1994)" 58pp = Daredevil Annual #10: CV 2351 #10 issue 168482 and GCD 1808 #10 row 54303 (68pp)
I 87352 cv=30617 gcd=45572 isbn=- 0.95 | "007 Daredevil Annual 04b" 56pp = CV 2351 #5 issue 30617 "A Friend In Need..." (1989) and GCD 1808 "#4 [5]" row 45572 (1989, 68pp) - the Atlantis Attacks annual Marvel printed as a second #4
I 83039 cv=1024891 gcd=2573284 isbn=- 0.95 | "Daredevil Facsimile Edition 183 (2023)" 35pp = CV 154153 "Daredevil No. 183 Facsimile Edition" issue 1024891 and GCD 204955 row 2573284 (2023-10-11, 36pp, "the entire Daredevil #183")

S 104165 cv=32250 gcd=11902 0.95 | the one-shot Daredevil 2099 (2004): CV 32250 (Marvel 2004, 1 issue 202432) and GCD 11902 (Marvel 2004, 1, row 210000) agree on title, publisher, year and count; our 24pp "Daredevil 2099 (2004)" in "_2099 Marvel\Daredevil 2099 (2004)" is that issue (the parsed ladder "2099" is the title, not a number)
F 104165 needs-fetch cv=32250 | Daredevil 2099 CV 32250 is named from the local rip and has no CvVolume row
I 53928 cv=202432 gcd=210000 isbn=- 0.95 | "Daredevil 2099 (2004)" 24pp = CV 32250 "Daredevil 2099" (Marvel 2004, 1) issue 202432 and GCD 11902 (Marvel 2004, 1) row 210000 (36pp, 2004-09-29)

S 96254 cv=6209 gcd=6026 0.9 | Daredevil (1998-2011): CV 6209 (Marvel 1998, 134, cached #0-512) and GCD 6026 (Marvel 1998-2011, 132, legacy #380-512 after #119) agree on publisher, span and count; our #20-25, #51-55, #92-119 (with "115 (495)" = #115, legacy 495), #500-507 (Kleio and Minutemen rips) sit inside, per-file CV 6209 / GCD 6026, and Vol. 02 Parts of a Hole (#9-15) and Vol. 22 Shadowland twice (#508-512) are the run's own; the 1964-run books and Daredevil 2099 left in P-062; 0.9 for the 2007 Annual one-shot (CV 19415 / GCD 27140)
I 46868 cv=116339 gcd=385930 isbn=- 0.95 | "Daredevil Annual 001 (2007)" 40pp = Daredevil Annual (2007) #1 "Devil May Care": CV 19415 issue 116339 and GCD 27140 row 385930 (56pp) - replaces the CV 2190 #1 / Panini España stamps
I 46911 cv=695643 gcd=1883969 isbn=- 0.9 | "Daredevil Vol. 02 - Parts of a Hole (2003)" 161pp = CV 116071 issue 695643 and GCD 135968 row 1883969 (180pp, roll-up s6026 #9-15) - a later remaster edition of the trade; the 2003 printing's own record is not in our data
I 46919 cv=266235 gcd=2756366 isbn=978-0-7851-4522-6 0.95 | "Daredevil Vol. 22 - Shadowland (2011)" 141pp = CV 39421 "Shadowland: Daredevil" issue 266235 "HC/TPB" and GCD 225997 row 2756366 (148pp, roll-up s6026 #508-512)
C 46919 gcd=53796 #1-1 0.9 | the Shadowland TPB also reprints Shadowland: After the Fall (Marvel 2011, GCD 53796, 1 issue) #1, the one-shot epilogue, per GCD row 2756366's roll-up
I 117388 cv=266235 gcd=2756366 isbn=978-0-7851-4522-6 0.95 | second rip "02 Daredevil - Shadowland (2011)" 143pp = CV 39421 issue 266235 and GCD 225997 row 2756366 (148pp)
C 117388 gcd=53796 #1-1 0.9 | the Shadowland TPB also reprints Shadowland: After the Fall (Marvel 2011, GCD 53796, 1 issue) #1, the one-shot epilogue, per GCD row 2756366's roll-up

S 64767 cv=2636 gcd=2120 0.9 | Ghost Rider (1973-1983): CV 2636 (Marvel 1973, 81, cached #1-81) and GCD 2120 (Marvel 1973-1983, 81) agree on publisher, span and count; our ladder #1-81 ("02 Ghost Rider v2 (1973)", ComicInfo Volume 1973 x41, Count 81 x11, per-file CV 2636 on 86/93) fills it, the c2c DCP rips (#10, #74-81 and a second #16) are the run's own issues; 0.9 for nine books of other comics split below - the Epic Collection Vol. 02, Ghost Rider Vol. 05, Ghost Rider (2006) #12-13, five Ghost Rider (1990) chronology issues, the Rob Williams complete series and the Spirits of Ghost Rider one-shot
F 64767 split-needed | item 80257 ("Ghost Rider Epic Collection Vol. 02 - The Salvation Run (2024)" 405pp = GCD 184834 #2 row 2670693, 412pp) is Vol. 02 of the Ghost Rider Epic Collection LINE, which S102623 stores (S line R-151 cv=- gcd=184834, holding Vol. 01 Hell on Wheels) -> join S102623 on its key "Ghost Rider Epic Collection (2022)" (L-392); checker anchor only: S102623 is outside this batch
F 64767 split-needed | item 80231 ("Ghost Rider Vol. 05 - Final Vengeance (2024)" 147pp = GCD 191541 #5 row 2673994, 148pp) is the fifth book of the Ghost Rider (2022) TPB line whose Vol. 01-04 sit on S94603 (S line R-151 cv=141707 gcd=182068; it collects Final Vengeance #1-6 = legacy #265-270, continuing that run's #247-264) -> join S94603 on its key "Ghost Rider v10 (2022)"; checker anchor only: S94603 is outside this batch
F 64767 split-needed | items 116883, 116884 ("Ghost Rider 012 / 013 (2007)", 24pp / 22pp, Minutemen-InnerDemons) are Ghost Rider (2006) #12-13 "Apocalypse Soon" (CV 18138 issues 110671 / 111669, 2007-08 / 09), the run S97144 stores (stored cv=18138, S line R-151 cv=18138 gcd=18651) -> join S97144 on its key "Ghost Rider v6 (2006)" (L-368); checker anchor only: S97144 is outside this batch
F 64767 split-needed | items 87798, 87800, 87802 ("002 Ghost Rider 026 (1992)", "004 Ghost Rider 027 (1992)", "006 Ghost Rider v2 #29", X-Men Complete Chronology "0161 Blood Feud", 22-23pp) and 88307, 88308 ("001 / 002 Ghost Rider v2 067 / 068", "0264" chronology folder, 33pp) are Ghost Rider (1990) #26 "Blood Feud!" (1992-06), #27, #29 (1992) and #67-68 "A Gathering" / "A Hunting" (1995) - CV 4397 issues 66441 / 66442 / 66444 / 66482 / 66483, GCD 4025 (per-file 4025 on two of them); CV calls the 1990 run "Vol. 2", which is why they parsed onto the 1973 shelf and why #26 / #27 / #29 / #67 / #68 name two files here - the run S64768 stores (stored cv=4397, S line C-046 cv=4397 gcd=4025) -> join S64768 on its key "Ghost Rider v3 (1990)"; checker anchor only: S64768 is outside this batch
F 64767 split-needed | item 80213 ("Ghost Rider - The Complete Series by Rob Williams (2012)" 229pp, GCD 220872 row 2709786 collects s59194 #0.1, #1-9; folder "08 Ghost Rider v7 (2011)") is the complete Ghost Rider (2011) run, CV 40536 / GCD 59194 (Marvel 2011-2012, 10), stored by no shelf (who-stores cv=40536: 0 rows) -> new key "Ghost Rider v7 (2011)" seeded cv=40536 gcd=59194
F 64767 split-needed | item 80223 ("Spirits of Ghost Rider - Mother of Demons 001 (2020)" 33pp, folder "11 Ghost Rider v9 (2019)\Annuals and Specials") is the one-shot Spirits of Ghost Rider: Mother of Demons (CV 124990 issue 737167 / GCD 156133 row 2069737, Marvel 2020, 1 issue each), stored by no shelf (who-stores cv=124990: 0 rows) -> new key "Spirits of Ghost Rider: Mother of Demons (2020)" seeded cv=124990 gcd=156133
I 80257 cv=1075779 gcd=2670693 isbn=978-1-302-95549-6 0.95 | "Ghost Rider Epic Collection Vol. 02 - The Salvation Run (2024)" 405pp (ComicInfo Series "Ghost Rider Epic Collection v02: The Salvation Run") = CV 160709 issue 1075779 "Volume 2" and GCD 184834 #2 row 2670693 (412pp, 2024-10-30) - replaces C-044's I line, which put the VOLUME id 160709 in the issue slot
N 80257 our data holds no roll-up of which Ghost Rider (1973) issues Vol. 02 reprints, so no C line
I 80231 cv=1077823 gcd=2673994 isbn=978-1-302-95707-0 0.95 | "Ghost Rider Vol. 05 - Final Vengeance (2024)" 147pp = CV 161056 issue 1077823 "Volume 5" and GCD 191541 #5 row 2673994 "Final Vengeance" (148pp, 2024-11-13) - the fifth book of the TPB line whose Vol. 01-04 sit on S94603
C 80231 cv=157214 gcd=209876 #1-6 0.95 | Vol. 05 collects Ghost Rider: Final Vengeance (Marvel 2024, 6 issues, legacy #265-270; CV 157214 / GCD 209876) #1-6 per GCD row 2673994's roll-up (7 stories)
I 80213 cv=- gcd=2709786 isbn=978-0-7851-5734-2 0.9 | "Ghost Rider - The Complete Series by Rob Williams (2012)" 229pp = GCD 220872 row 2709786 (148pp, 2012-07-18, exact title); ComicVine's rip holds no volume for this book (probed the full title)
C 80213 cv=40536 gcd=59194 #1-9 0.95 | the book collects Ghost Rider (Marvel 2011-2012, 10 issues incl. #0.1; CV 40536 / GCD 59194) #1-9 per GCD row 2709786's roll-up (11 stories); #0.1 on the N
N 80213 also collects Ghost Rider (2011) #0.1, the Point One prologue before #1
I 80223 cv=737167 gcd=2069737 isbn=- 0.95 | "Spirits of Ghost Rider - Mother of Demons 001 (2020)" 33pp = CV 124990 issue 737167 and GCD 156133 #1 row 2069737 (40pp, 2020-02-12) - replaces C-044's I line, which put the VOLUME id 124990 in the issue slot

S 5304 cv=44363 gcd=62406 0.95 | a creator line reprinting ONE run gives way to the run (L-395): our two books are Defenders (2012), CV 44363 (Marvel 2012, 12, cached) = GCD 62406 (Marvel 2012-2013, 12) - GCD row 2023507 (Vol. 1, 164pp) collects s62406 #1-6 and row 2023508 (Vol. 2, 140pp) collects #7-12 (judged #1-6 / #7-12), exactly the run's twelve issues; folder "Defenders v4 (2012)"; its issues #1-3 now sit on S104168, which merges here through the shared cv
F 5304 wrong-cv-link | the stored CV 50398 "Defenders by Matt Fraction" (2 = Vol. 1-2) is the creator TPB line (GCD 150985), not the run; its issues 345520 / 380705 are the books' I lines
F 5304 needs-fetch cv=44363 | Defenders (2012) CV 44363 is named from the rip and has no CvVolume row
I 78751 cv=345520 gcd=2023507 isbn=978-0-7851-5851-6 0.95 | "Defenders By Matt Fraction v01 (2012)" 141pp = CV 50398 #1 issue 345520 "Volume One" (2012-06) and GCD 150985 #1 row 2023507 (164pp, 2012-06-27)
C 78751 cv=44363 gcd=62406 #1-6 0.95 | Vol. 1 collects Defenders (Marvel 2012-2013, 12 issues; CV 44363 / GCD 62406) #1-6 per GCD row 2023507's roll-up (25 stories), plus Point One #1 and Fear Itself #7 back-matter
I 78752 cv=380705 gcd=2023508 isbn=978-0-7851-5853-0 0.95 | "Defenders By Matt Fraction v02 (2014)" 141pp = CV 50398 #2 issue 380705 "Volume Two" (2013-01) and GCD 150985 #2 row 2023508 (140pp, 2013-01-09)
C 78752 cv=44363 gcd=62406 #7-12 0.95 | Vol. 2 collects Defenders (Marvel 2012-2013, 12 issues; CV 44363 / GCD 62406) #7-12 per GCD row 2023508's notes, the close of the run

S 20617 cv=10379 gcd=11256 0.95 | the RUN wins: our five "Ultimate Fantastic Four Collection" books (Book 01-03, 05-06, 2019) are judged #1-12, #13-20, #21-32, #42-53, #54-57 (5 of 5 fit), all inside CV 10379 "Ultimate Fantastic Four" (Marvel 2004, 60, cached #1-60) = GCD 11256 (Marvel 2004-2009, 60); the run's #58-60 on S104180 merge here through the shared cv
N 20617 the books' own records are CV 122591 "Ultimate Fantastic Four Collection" (Marvel 2019, 6) issues, on the I lines; GCD has no row for the collected line, and the per-file GCD 158768 on 5/5 files is the Greek Anubis edition, a stamp
I 97073 cv=725839 gcd=- 0.9 | lookup.py --issues 122591 gives clean per-book ids for CV "Ultimate Fantastic Four Collection" (2019): #1=725839 matches Book 01; GCD confirmed 0 hits for the collected line
I 97074 cv=726532 gcd=- 0.9 | same CV collection, #2=726532 matches Book 02
I 97075 cv=726533 gcd=- 0.9 | same CV collection, #3=726533 matches Book 03
I 97076 cv=726535 gcd=- 0.9 | same CV collection, #5=726535 matches Book 05
I 97077 cv=726536 gcd=- 0.9 | same CV collection, #6=726536 matches Book 06
